Words,Count,,Source: https://www.erinkingpetphotography.com.au/heartwarming-rescue-stories-of-melbourne-dogs-lucy-the-staffordshire-bull-terrier-cross/
Perfect,12,,https://www.4pawsanimalrescue.org.au/happy-ever-after-adoption-stories
Great,6,,RSPCA Google Reviews
Best,6,,"https://www.pedigree.com.au/why-pedigree/petrescue-partnership/success-stories#:~:text=The%20best%20thing%20about%20Roy,the%20roost%20at%20our%20house!"
Joy,1,,
Healthy,2,,
Amazing,4,,
Glad,4,,
Lovely,8,,
Pleasure,1,,
Love,16,,
Adore,3,,
Happy,6,,
Sweet,3,,
Grateful,6,,
Delighted,3,,
Thrilled,1,,
Beautiful,11,,
Fabulous,1,,
Gorgeous,1,,
Wonderful,2,,
Thankful,1,,
Companionship,1,,
Family,10,,
Loyal,1,,
Affectionate,3,,
Awesome,2,,